date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
01-01-2020,,,,,,,,,,,17.92902006,49.51578666
02-01-2020,,,,,,,,,,,8.556940176,
03-01-2020,,,,,,,,,,,26.08739215,
04-01-2020,,,,,,,,,,,,69.35422385
05-01-2020,,17.5244508,59.43500525,,,,,,,,,
06-01-2020,,16.21607576,81.40402096,,,,,,,,14.00389495,93.45381807
07-01-2020,,20.04564355,109.2783957,,16.64431183,94.33774345,,,,,,165.0271452
08-01-2020,,-1.909954455,111.1453536,,7.706105853,111.1453536,,,,,-17.82380386,116.7462274
09-01-2020,,-0.05498986,122.9726403,,6.480605642,112.248957,,,,,3.654939331,116.6633703
10-01-2020,,-0.05498986,104.4303181,,-0.05498986,98.58430241,,,,,,30.26102958
11-01-2020,,-7.084432263,102.5094599,,-0.05498986,101.0001863,,,,,,83.84952718
12-01-2020,,-9.772464512,75.45435589,,-3.828374647,90.82182039,,,,,-15.14852901,29.75162496
13-01-2020,,-5.74679484,71.63595386,,-9.772464512,91.42187742,,,,,,97.65421732
14-01-2020,,0.780776738,63.24635668,,-3.151827763,78.5201973,,6.746242035,84.27203226,,16.71008249,74.71538435
15-01-2020,,0.780776738,71.49268845,,1.738830935,72.14919228,,5.148702317,87.74765682,,,
16-01-2020,,0.780776738,85.31554492,,0.780776738,75.89545607,,4.580662674,92.41977466,,,139.140953
17-01-2020,,16.19671826,105.1897311,,5.748302501,89.06001277,,2.846656321,93.82215759,,15.68335403,109.2483698
18-01-2020,,37.42059835,89.20368601,,24.27831651,80.70343106,,13.84975664,90.85180867,,79.86835853,33.71003692
19-01-2020,,70.40651987,76.92500155,,56.98241053,80.01160131,,26.57701794,85.83248851,,115.6678471,25.6006465
20-01-2020,,76.74967733,81.21886282,,64.74175836,80.13494974,,36.79892478,86.21252619,,95.77914969,98.39430791
21-01-2020,,84.06740523,83.7525601,,84.06740523,92.98395892,,45.30330168,85.19577959,,113.3383169,151.8094394
22-01-2020,,101.163418,77.37860768,,84.06740523,92.98395892,,53.19418987,82.5665756,,,
23-01-2020,,129.5539581,95.99252743,,102.2945908,87.8214194,,76.91613731,81.85843773,,193.4305189,108.1657159
24-01-2020,,136.030948,119.4564877,,123.2766662,83.53602933,,84.10054499,86.5491112,,141.5758065,
25-01-2020,,149.4482141,129.9875777,,131.9583278,95.99252743,,84.10054499,86.81906961,,,
26-01-2020,,167.5031627,89.02876929,,136.030948,107.0653215,,96.50667925,90.83308938,,,69.89182267
27-01-2020,,114.0320292,89.02876929,,113.8586011,109.9556593,,86.57146625,90.07518627,,7.089762331,
28-01-2020,,60.24112481,36.86524628,,93.53847332,60.63206949,,88.27676883,82.19999578,,32.05780564,3.838669889
29-01-2020,,60.10203481,28.52634948,,103.0624859,48.43619109,,93.56494559,75.16485179,,141.1585365,11.84855588
30-01-2020,,60.10203481,41.01946821,,80.47047772,41.01946821,,93.56494559,69.10063892,,,78.49882441
31-01-2020,,79.06279921,31.39535006,,79.06279921,41.01946821,,105.5911194,64.63977994,,135.9450924,
01-02-2020,,103.0538115,31.13196792,,79.06279921,38.88393887,,108.449204,64.26553379,,,30.34182151
02-02-2020,,138.5518144,40.22973393,,79.06279921,31.13196792,,107.5468736,69.0986447,,,
03-02-2020,,87.3537229,61.02139208,,86.98094697,39.7502804,,100.419774,66.0772975,,38.76235338,74.22353031
04-02-2020,,87.3537229,40.99403686,,105.2886608,42.66589817,,98.57426794,49.40321242,,,18.41675875
