,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-01-01,,,,,,,,,,,37.61076192112943,48.367740784847214
2020-01-02,,,,,,,,,,,57.34768725525328,81.6560857923231
2020-01-03,,,,,,,,,,,20.696719327885123,74.80204770618695
2020-01-04,,,,,,,,,,,102.7397747914264,58.0040107794969
2020-01-05,,54.59873582392356,59.994071840118764,,,,,,,,,37.140474137739616
2020-01-06,,46.32929736111879,59.63220911211537,,,,,,,,4.533008069910338,46.55842714483025
2020-01-07,,42.65650072974062,58.37954548423487,,44.58559027312092,60.27450771404924,,,,,,75.3927676529206
2020-01-08,,56.282792319309586,61.34149294113301,,49.37855670821344,66.16651402916787,,,,,61.57559409659202,89.61178499067766
2020-01-09,,32.28178224941063,60.83422810771022,,44.05636817350869,62.42531414631928,,,,,30.736744581729557,55.46768661238292
2020-01-10,,32.28178224941063,69.11228611217557,,49.89628038491458,62.95798792544492,,,,,,78.53076416006643
2020-01-11,,40.96810155116919,72.9104662611012,,31.859328180854476,64.03589036972514,,,,,30.591965975186007,65.54932788945844
2020-01-12,,40.96810155116919,65.56199115784433,,31.859328180854476,64.25159294099606,,,,,,38.65039213663617
2020-01-13,,30.664355278457784,67.45535484943228,,40.96810155116919,71.75447527010853,,,,,,99.07860344861746
2020-01-14,,40.31496992439505,70.45227190869463,,43.23556963177792,71.14809320630651,,43.98558109919069,65.2930856335526,,50.037973873604095,
2020-01-15,,35.473079974224206,63.908099428565194,,34.28899612610054,64.93847474778502,,42.67208533838547,65.59972666852963,,25.789300073882515,52.354074239548716
2020-01-16,,31.5719578096417,66.3183669335647,,31.326959851027773,68.22559329729728,,38.398853363517176,65.10236606215527,,18.888599481438476,75.19039790945645
2020-01-17,,49.1023677680297,68.06588582683882,,45.400287409460965,62.74387722224165,,47.39850650966257,62.85916760088956,,101.69359764319371,45.64046770973264
2020-01-18,,46.3280665887624,62.646528235286766,,46.3280665887624,64.71918475440012,,39.89751618524777,64.3512570088059,,35.23086187169319,77.40117308240924
2020-01-19,,45.40058976755198,66.62941317469222,,46.3280665887624,72.03761155367975,,39.897516185247774,67.84513999300393,,,82.560952932314
2020-01-20,,64.4066007080391,76.99448425493495,,55.57561279660717,72.88774925237057,,50.70644238146118,72.27752480038332,,101.813343835831,104.17942964076232
2020-01-21,,81.92146318926626,87.13449970866023,,62.06062538539768,80.45956724175805,,54.53060308394977,76.16196384078042,,88.94804940634711,125.89047517808291
2020-01-22,,70.86029601978767,97.50800770839213,,67.33723020063047,85.14381607545961,,54.11793657081851,75.04114541162231,,57.448928965279364,
2020-01-23,,84.23468631499611,104.21028591705307,,78.9772007958119,87.13449970866023,,59.917104417898244,76.82055075700772,,88.72842305252695,
2020-01-24,,74.57774952323963,115.03495240942262,,68.01993491464854,97.50800770839213,,57.7382769577451,76.64952941670182,,35.950002356213695,
2020-01-25,,60.002921055982235,125.89047517808291,,66.97132485262371,104.21028591705307,,57.588025641777655,77.88288514195112,,28.9392014995441,
2020-01-26,,52.76663896839103,,,66.97132485262371,115.03495240942262,,57.588025641777655,82.78694676761546,,,
2020-01-27,,43.949155717489475,-13.357372681116594,,53.69893354026405,56.266551248483154,,54.637273168435605,68.73244975139872,,22.178995961673124,-13.357372681116594
2020-01-28,,45.86339969933792,-4.845086049556475,,54.93849180252633,-4.845086049556475,,58.499558593961986,61.50297762146593,,96.38539897992077,3.667200582003644
2020-01-29,,52.90573934851267,1.511386867751779,,56.05023046713189,1.511386867751779,,61.69373033388117,57.266339672890325,,64.11936095291269,14.224332702368287
2020-01-30,,70.03065356662572,17.45679268027515,,57.50196968704344,17.45679268027515,,68.23958524142766,56.166629918266864,,97.43885837199626,65.29301011784527
2020-01-31,,86.0586518248269,18.069788219249645,,76.53874343727976,18.069788219249645,,72.27933917596415,53.37566354775741,,150.17064485763157,20.52177037514762
2020-02-01,,95.51810805725127,24.32135168893974,,83.29492270798825,18.04156429393035,,75.13312378030598,46.76447150163793,,69.47627712379507,17.90044466733387
2020-02-02,,91.92177190649765,29.484889465673763,,82.59617921058317,18.04156429393035,,75.38470796844803,42.28991132280342,,78.4037182261527,
2020-02-03,,92.3509640753609,42.82831270879181,,88.89422575851972,31.53413068658986,,72.65024473470942,37.717235827063185,,66.26532179722899,67.59802567484049
2020-02-04,,83.65233371341496,36.44835147628362,,82.83141255599769,37.55179145422468,,69.9577568236263,26.95257207827938,,53.94570656226651,39.773165187812495
2020-02-05,,67.0227559273608,64.03900826626337,,85.95008782317852,56.995135593007724,,71.00015914515521,38.500552684589074,,,130.88439753506663
2020-02-06,,55.71905682583244,89.56178291500748,,73.75385821412605,66.1115577837519,,65.62791395058476,46.64965174236121,,24.26148071768155,119.99154326231034
2020-02-07,,46.133232149312356,98.83491819654614,,55.40215399119952,85.34583927501076,,65.97044871423965,54.765816067846615,,40.06041952007237,135.92745932270074
2020-02-08,,39.42253560000681,97.56957099338786,,52.58732936468043,92.57431344029663,,69.33692573375743,55.307938867113485,,,61.271289659049074
2020-02-09,,34.48800767805702,112.01867244478171,,44.73501027873331,92.57431344029663,,66.82069215564574,55.307938867113485,,39.14212279641714,
2020-02-10,,31.691893579941468,84.546084692978,,36.142656176406476,84.80698358246518,,66.91440509930587,58.17055713452752,,23.303551285594803,20.99404652785181
2020-02-11,,44.353854301675355,58.6402284131793,,40.33537958487659,80.90614240834904,,65.1247321513639,59.22896693128684,,74.9093236046171,16.368118143115577
2020-02-12,,44.908417421528696,32.267110226404384,,40.65926165397811,64.16457391510478,,63.30467473857831,60.57985475405625,,42.27867199948573,30.434986575601084
2020-02-13,,51.812463601943094,26.738165532010036,,49.85378958829798,50.69190185163166,,61.80382390121201,58.40172981769177,,79.42864832360067,39.15551088147166
2020-02-14,,72.32462273266789,51.55016093666649,,66.7942060766261,53.17034905706358,,61.09818003391282,69.25809416603717,,141.70291845004112,150.7981425552923
2020-02-15,,97.31919709872838,59.18918953887015,,78.43452279652197,51.55016093666649,,67.66485886658799,73.926971393192,,148.27642311589724,
2020-02-16,,102.9216654722562,73.46288000412169,,84.98325612987277,51.55016093666649,,66.68859892480938,73.92697139319202,,,
2020-02-17,,108.581322346941,68.68692466332824,,91.9188808319778,50.57277574174027,,66.56605144308175,69.24598001849931,,64.91729949822489,16.10712055322076
2020-02-18,,118.2988803547211,65.1688235595538,,95.32079227744994,53.019393627146826,,67.82808593116326,68.23034750780256,,,28.601207570148333
2020-02-19,,91.23715076107068,34.90356901940769,,98.96860381137078,58.93287209899741,,67.1635080891566,61.786527635055954,,60.51772966908992,60.00237893485398
2020-02-20,,59.42943008761005,34.90356901940769,,93.65352636575372,63.87721240337885,,69.76276085077785,55.966026072330536,,52.853261095515336,
2020-02-21,,64.36248466153262,34.90356901940769,,81.14527235240556,34.90356901940769,,73.31741802016222,47.08142237784495,,79.16164838330036,
2020-02-22,,79.24443753604447,46.085720587112654,,76.37900992848054,38.59107057863967,,77.57805910150472,45.790565221987904,,124.44511099627226,49.65357525633563
2020-02-23,,80.97515269174171,46.94502819634062,,78.29884382615558,37.10868254247819,,81.64104997801418,44.32942173957234,,87.89801331453069,31.17913039783227
2020-02-24,,94.23355633676361,40.41635282708395,,88.61425189215133,42.359073039792555,,90.26656636206457,46.92224120754129,,126.80974789419946,
2020-02-25,,115.41103400771674,34.03529720084906,,98.63230868616985,40.52706763435029,,97.25251018253654,47.467248741459485,,158.74064945028098,21.27318594837928
2020-02-26,,138.17682511020558,34.52683457773182,,117.55700500426335,34.52683457773182,,109.8118378405581,48.08574431176825,,192.9906038957444,36.00144670838009
2020-02-27,,148.60000305753596,31.894285825992903,,135.2295392381789,35.44614371206145,,117.90620054133507,48.08217424153585,,176.56100073292424,39.12338024937997
2020-02-28,,144.44898455557498,32.132670968713114,,133.5125781555254,35.44614371206145,,111.69286740422545,35.242678202316284,,67.14292080472579,
2020-02-29,,148.85879372091884,28.39948473241798,,135.02382268206762,28.955413865500837,,108.3670896122553,33.23792796022921,,,17.19992602353258
2020-03-01,,120.99553641951508,28.04813632553231,,128.25542383709012,26.693146250101705,,103.27713383162285,31.90091439628995,,47.28762024466587,19.867792320836593
2020-03-02,,87.48965438162793,32.929902082723416,,116.94831181208951,31.499040164608843,,102.78128185212044,35.84305331468232,,58.967075744195846,55.528509737144525
