,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-01-01,,,,,,,,,,,67.13118757297883,63.99809524424115
2020-01-02,,,,,,,,,,,65.47433638444392,102.85088296297572
2020-01-03,,,,,,,,,,,59.59806093971,163.81801265972305
2020-01-04,,,,,,,,,,,66.49669243037198,36.717738614520094
2020-01-05,,64.13313750504611,82.37091680546352,,,,,,,,61.96541019772579,44.469854545857594
2020-01-06,,60.87444831246937,81.90765146343642,,,,,,,,50.83774161009518,61.681768534105714
2020-01-07,,56.07507899441047,78.85236303704927,,58.99727413278215,80.15868477035188,,,,,41.477489794149385,87.5744408310399
2020-01-08,,58.14780329120924,68.06911543381335,,59.401630540028584,86.7163532559665,,,,,69.96168242370386,109.90177464354345
2020-01-09,,59.63793663235538,80.28024268027625,,60.61206236169412,85.9909949536606,,,,,73.94735913610263,97.77337484683454
2020-01-10,,59.43604202398878,81.52234119806691,,60.80604467829168,69.82847130724461,,,,,60.95593715589284,50.68034713481095
2020-01-11,,62.29118827802514,79.81493499464554,,60.60844188542096,72.17518543617014,,,,,65.11347288027697,53.14473751699882
2020-01-12,,65.05997779847885,79.57376674426438,,59.659302913805554,78.16072044092392,,,,,55.32143739641796,86.36859957913413
2020-01-13,,61.27825779605564,86.49551287585932,,59.690065885447346,89.99339712198285,,,,,51.0530824115878,144.51050530151815
2020-01-14,,63.681412631631,82.33324562894998,,66.04515781685163,88.47733966216113,,62.52121597481688,84.31801221625652,,85.96313331397937,76.96203861228788
2020-01-15,,68.7357254660158,77.87765561142224,,68.36884623172492,76.8345714341081,,63.88523838587675,81.7754623450373,,86.2275013278169,28.402397047172244
2020-01-16,,76.91218826822545,75.63865358414338,,72.94719305389958,68.8597646532181,,66.77962770779685,77.42537980343934,,105.99578689132524,41.94972738060448
2020-01-17,,72.87558781320817,62.566012159997115,,69.25897847753366,64.62048541373122,,65.03251157791267,67.22447836048791,,35.138435121331476,21.00539245840283
2020-01-18,,70.97622139004773,36.933394189248666,,65.89366096546348,59.363725118127945,,63.251051425442206,65.76945527714905,,41.55625029578559,16.3474154477759
2020-01-19,,67.2294934090648,23.94874090735168,,67.65569822697107,48.74517835008063,,63.349946904497315,63.45294939550229,,,12.03877220280295
2020-01-20,,51.64535383222171,22.031345093966927,,63.12867499511386,30.78873730418497,,61.27711624375497,60.39106721308392,,23.890943020444514,18.815417980248487
